iter	Passed	Remaining
0	2	229
1	4	225
2	6	224
3	9	226
4	11	220
5	14	219
6	16	216
7	18	211
8	20	208
9	23	207
10	25	203
11	27	199
12	29	197
13	31	195
14	33	192
15	36	189
16	38	186
17	40	183
18	42	180
19	44	179
20	47	177
21	49	174
22	51	171
23	53	169
24	55	167
25	58	165
26	60	163
27	62	160
28	64	157
29	66	156
30	68	153
31	71	151
32	73	149
33	75	147
34	78	144
35	80	142
36	82	140
37	85	138
38	87	137
39	90	135
40	93	133
41	95	132
42	98	130
43	100	128
44	103	126
45	105	124
46	108	122
47	110	119
48	112	117
49	115	115
50	117	112
51	119	110
52	121	108
53	124	105
54	126	103
55	128	101
56	130	98
57	133	96
58	136	94
59	138	92
60	140	89
61	142	87
62	144	85
63	147	82
64	149	80
65	151	78
66	154	75
67	156	73
68	158	71
69	160	68
70	162	66
71	165	64
72	167	61
73	169	59
74	171	57
75	173	54
76	176	52
77	178	50
78	181	48
79	183	45
80	185	43
81	187	41
82	189	38
83	192	36
84	194	34
85	196	32
86	199	29
87	201	27
88	203	25
89	205	22
90	208	20
91	210	18
92	212	16
93	215	13
94	217	11
95	219	9
96	222	6
97	224	4
98	226	2
99	228	0
